"day","month","year","precip","tmax","tmin","srad"
25,6,1991,0,30.32180086,22.12180086,14.88415924
26,6,1991,0,29.57224533,21.37224533,19.9167427
27,6,1991,30,29.85355087,21.05355087,8.847657142
28,6,1991,16,28.22909244,20.32909244,11.14969428
29,6,1991,3.2,31.00527424,22.80527424,10.86401069
30,6,1991,3.3,30.5201641,21.9201641,15.47056938
1,7,1989,9,32.57870509,22,14.89920329
2,7,1989,21,32.41224809,22.2,18.21555298
3,7,1989,0,30.88719394,21.4,13.61306941
4,7,1989,0,32.4330832,23.4330832,17.36533819
5,7,1989,7.5,29.10016725,23.50016725,12.32690674
6,7,1989,25,28.04025512,22.64025512,10.16881318
7,7,1989,2.5,29.19013645,20.79013645,8.874690079
8,7,1989,1.4,30.64860802,19.8,10.61255698
9,7,1989,0,28.20596052,23,11.34132916
10,7,1989,0,30.04429839,20,10.91435518
11,7,1989,14.1,31.0383818,23,15.55366805
12,7,1989,0,29.89557311,21.2,17.15845723
13,7,1989,6.5,30.95206494,21.2,9.921554682
14,7,1989,25.4,30.28998194,22.2,16.89487409
15,7,1989,8.5,29.3218964,21.1218964,16.76353769
16,7,1989,10.5,29.34354297,23.4,8.926262879
17,7,1989,0,29.39850191,22.2,9.369956033
18,7,1989,0,31.1933023,21.2,17.38396259
19,7,1989,1,28.85610512,22,11.42750514
20,7,1989,0.5,30.9038299,22.4,19.32209031
21,7,1989,0,27.46225473,22.66225473,12.20627341
22,7,1989,37.7,28.46846606,22.4,12.59458369
23,7,1989,0,26.26593697,20.4,14.10767446
24,7,1989,0,28.69143967,23.6,19.69580503
25,7,1989,18.8,29.47415212,22,10.46566397
26,7,1989,0,30.09454248,22.8,16.65148692
27,7,1989,0,29.04278541,23.04278541,25.35545958
28,7,1989,4,29.56039779,21.8,14.77223703
29,7,1989,0,27.70944999,23.6,22.31558236
30,7,1989,0,29.52582918,22.4,13.85155693
31,7,1989,4.4,30.01068383,21.81068383,18.23773039
1,8,1998,0,31.13191411,22.13191411,17.42854496
2,8,1998,0,31.26338117,20.66338117,20.52451077
3,8,1998,12.4,28.98606465,22.18606465,16.45543681
4,8,1998,42.5,25.5096241,24.7096241,18.91657577
5,8,1998,0,30.17982657,22.47982657,20.28003705
6,8,1998,0,31.29096784,21.09096784,19.97700319
7,8,1998,23.6,31.54895769,25,17.49620815
8,8,1998,0,30.60832752,23.20832752,18.24036799
9,8,1998,0,29.28354677,24.08354677,12.91166418
10,8,1998,22.4,29.42245327,23.72245327,15.40631993
11,8,1998,1.8,27.482939,22.682939,18.42162967
12,8,1998,0.7,30.89833651,23.09833651,16.58644164
13,8,1998,0,30.87816019,22.37816019,18.30201547
14,8,1998,0,31.4991121,21.2991121,18.72251936
15,8,1998,1.4,30.56314363,22.06314363,15.47111337
16,8,1998,0,30.05118487,21.65118487,17.30100478
17,8,1998,0,30.57589179,21.17589179,18.00338409
18,8,1998,0,24.67447181,23.87447181,16.4883404
19,8,1998,0,29.11017809,22.31017809,15.7680421
20,8,1998,0,30.00310788,21.60310788,17.51484841
21,8,1998,0,30.74971044,21.44971044,16.70350479
22,8,1998,25.1,30.73745769,22.73745769,17.92166341
23,8,1998,26.7,30.36033165,23.16033165,14.02769903
24,8,1998,8.8,26.64643533,21.24643533,19.76602079
25,8,1998,4.7,25.91135231,19.21135231,17.53722428
26,8,1998,1.3,29.52272457,20.32272457,16.24320316
27,8,1998,0.3,30.115576,21.915576,17.38351808
28,8,1998,0,30.56694923,19.96694923,19.47803456
29,8,1998,0,29.27999104,21.07999104,17.29127908
30,8,1998,0.4,30.58327528,20.38327528,19.71526488
31,8,1998,12.4,31.28495994,22.28495994,14.48025635
