,CODE_ARCHIVO,Latitud,Longitud,DPTO,MUNICIPIO,VARIEDAD,SIST_SIMPLE,FECHA_SIEMBRA,FECHA_EMERGENCIA,FECHA_COSECHA,ANO_COS,RENDIMIENTO_HA,ID,Cluster
619,RC,NA,NA,CASANARE,YOPAL,F733,SECANO,6/3/2013,,10/7/2013,2013,5998.75,RC77_2013_15,10
620,RC,NA,NA,CASANARE,YOPAL,F733,SECANO,6/20/2013,,10/24/2013,2013,6062.5,RC77_2013_19,10
621,RC,NA,NA,CASANARE,YOPAL,F733,SECANO,7/10/2013,,11/13/2013,2013,4500,RC77_2013_23,10
622,RC,NA,NA,CASANARE,YOPAL,F733,SECANO,5/6/2014,,9/9/2014,2014,4768.75,RC77_2014_27,3
623,RC,NA,NA,CASANARE,YOPAL,F733,SECANO,5/31/2014,,10/4/2014,2014,4218.75,RC77_2014_47,3
624,RC,NA,NA,CASANARE,YOPAL,F733,SECANO,6/5/2014,,10/9/2014,2014,4156.25,RC77_2014_32,3
625,RC,NA,NA,CASANARE,YOPAL,FDUMILA,SECANO,6/3/2014,,10/7/2014,2014,4491.25,RC77_2014_48,3
626,RC,NA,NA,CASANARE,YOPAL,FGAITANA,SECANO,6/3/2014,,10/7/2014,2014,5543.75,RC77_2014_49,3
627,RC,NA,NA,CASANARE,YOPAL,FTANA,SECANO,6/3/2014,,10/7/2014,2014,4947.5,RC77_2014_50,3
628,RC,NA,NA,CASANARE,YOPAL,COPROSEM,SECANO,4/6/2015,,8/10/2015,2015,5625,RC79_2015_70,2
629,RC,NA,NA,CASANARE,YOPAL,COPROSEM,SECANO,6/11/2015,,10/15/2015,2015,6000,RC79_2015_438,2
630,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,12/20/2014,,4/25/2015,2015,6250,RC79_2015_11,1
631,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,3/28/2015,,8/1/2015,2015,4101,RC79_2015_41,2
632,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,3/29/2015,,8/2/2015,2015,6250,RC79_2015_45,2
633,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,4/6/2015,,8/10/2015,2015,3437.5,RC79_2015_71,2
634,RC,NA,NA,CASANARE,YOPAL,F174,RIEGO,4/9/2015,,8/13/2015,2015,4563,RC79_2015_92,2
635,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,4/9/2015,,8/13/2015,2015,5000,RC79_2015_91,2
636,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,4/11/2015,,8/15/2015,2015,2284,RC79_2015_110,2
637,RC,NA,NA,CASANARE,YOPAL,F174,RIEGO,4/11/2015,,8/15/2015,2015,6625,RC79_2015_101,2
638,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,4/13/2015,,8/17/2015,2015,4187,RC79_2015_118,2
639,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,4/16/2015,,8/20/2015,2015,4625,RC79_2015_135,2
640,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,4/18/2015,,8/22/2015,2015,4625,RC79_2015_147,2
641,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,4/21/2015,,8/25/2015,2015,5375,RC79_2015_164,2
642,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,4/24/2015,,8/28/2015,2015,5000,RC79_2015_182,2
643,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,4/24/2015,,8/28/2015,2015,5937,RC79_2015_180,2
644,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,4/28/2015,,9/1/2015,2015,4558,RC79_2015_200,2
645,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,4/28/2015,,9/1/2015,2015,4875,RC79_2015_197,2
646,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,5/2/2015,,9/5/2015,2015,3750,RC79_2015_221,2
647,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,5/2/2015,,9/5/2015,2015,4687.5,RC79_2015_219,2
648,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,5/6/2015,,9/9/2015,2015,5091.09589,RC79_2015_243,2
649,RC,NA,NA,CASANARE,YOPAL,F174,RIEGO,5/7/2015,,9/10/2015,2015,4187.5,RC79_2015_262,2
650,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,5/7/2015,,9/10/2015,2015,4868.75,RC79_2015_258,2
651,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,5/12/2015,,9/15/2015,2015,6410,RC79_2015_289,2
652,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,5/14/2015,,9/17/2015,2015,6562,RC79_2015_301,2
653,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,5/15/2015,,9/18/2015,2015,5159.375,RC79_2015_307,2
654,RC,NA,NA,CASANARE,YOPAL,F174,RIEGO,5/16/2015,,9/19/2015,2015,4047,RC79_2015_313,2
655,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,5/16/2015,,9/19/2015,2015,4754.027778,RC79_2015_312,2
656,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,5/17/2015,,9/20/2015,2015,5000,RC79_2015_330,2
657,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,5/18/2015,,9/21/2015,2015,3406.5,RC79_2015_338,2
658,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,5/19/2015,,9/22/2015,2015,6750,RC79_2015_341,2
659,RC,NA,NA,CASANARE,YOPAL,F174,RIEGO,5/20/2015,,9/23/2015,2015,5625,RC79_2015_348,2
660,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,5/21/2015,,9/24/2015,2015,4625,RC79_2015_356,2
661,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,5/21/2015,,9/24/2015,2015,5687.5,RC79_2015_355,2
662,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,5/22/2015,,9/25/2015,2015,4800,RC79_2015_365,2
663,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,5/22/2015,,9/25/2015,2015,5073.229167,RC79_2015_364,2
664,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,5/24/2015,,9/27/2015,2015,3817.3125,RC79_2015_374,2
665,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,5/25/2015,,9/28/2015,2015,4800,RC79_2015_377,2
666,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,5/29/2015,,10/2/2015,2015,5816.25,RC79_2015_397,2
667,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,5/30/2015,,10/3/2015,2015,5312.5,RC79_2015_403,2
